state,lat,p,c,borough,city,country_code,country,postcode,col,display_name,lng,suburb,d,city_district
,49.2524,0.0,Orlen,,,cz,Česko,386 01,black,"Benzina Volyňská, Volyňská, Strakonice II, Nové Strakonice, Strakonice, okres Strakonice, 386 01, Česko",13.91307,Strakonice II,,
Moravskoslezsko,49.8563,0.0,Benzina,,Ostrava,cz,Česko,712 00,black,"Stop Cafe, 901/69, Muglinovská, Muglinov, Ostrava, okres Ostrava-město, Moravskoslezský kraj, Moravskoslezsko, 712 00, Česko",18.28845,Muglinov,,
Střední Čechy,50.06895,0.0,Orlen ,,,cz,Česko,250 82,black,"ORLEN Benzina Úvaly, U Přeložky, Na Slovanech, Úvaly u Prahy, Úvaly, okres Praha-východ, Střední Čechy, 250 82, Česko",14.7308,Úvaly u Prahy,,
Praha,50.04009,0.0,OMV,,Hlavní město Praha,cz,Česko,149 00,black,"OMV, Mírového hnutí, Háje, Praha, obvod Praha 4, Hlavní město Praha, Praha, 149 00, Česko",14.51125,Háje,,obvod Praha 4
Severozápad,50.24427,40.9,Orlen,,,cz,Česko,362 63,#009900,"Stop Cafe, Stará cesta, Všeborovice, Dalovice, okres Karlovy Vary, Karlovarský kraj, Severozápad, 362 63, Česko",12.89923,Všeborovice,před 4 dny,
Severovýchod,50.04469,39.9,Orlen ,,Pardubice,cz,Česko,530 09,#009900,"Orlen benzina, 324, Polabiny V, Pardubice, okres Pardubice, Pardubický kraj, Severovýchod, 530 09, Česko",15.76766,Pardubice,Předevčírem,
Střední Čechy,50.14363,0.0,Orlen,,,cz,Česko,439 86,black,"D6, Bukov, Kolešov, okres Rakovník, Střední Čechy, 439 86, Česko",13.49295,Kolešov,,
,49.14104,0.0,Benzina,,,cz,Česko,389 01,black,"ČS ORLEN Vodňany, Budějovická, Vodňany II, Vodňany, okres Strakonice, 389 01, Česko",14.1832,Vodňany II,,
Jihovýchod,49.26974,0.0,Benzina,,,cz,Česko,594 54,black,"Orlen, D1, Velká Bíteš, okres Žďár nad Sázavou, Kraj Vysočina, Jihovýchod, 594 54, Česko",16.27762,Velká Bíteš,,
,49.22322,0.0,ORLEN,,Brno,cz,Česko,624 00,black,"LPG, Bystrcká, Komín, Brno, okres Brno-město, Jihomoravský kraj, 624 00, Česko",16.53753,Komín,,
Střední Čechy,50.33846,38.9,Orlen ,,,cz,Česko,276 01,#999900,"Mělník, okres Mělník, Střední Čechy, 276 01, Česko",14.49377,Mělník,před 9 dny,
Jihovýchod,49.21896,0.0,ORLEN,,Brno,cz,Česko,616 00,black,"Benzina, Královopolská, Žabovřesky, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 616 00, Česko",16.57544,Žabovřesky,,
Střední Čechy,49.97298,0.0,Orlen,,,cz,Česko,252 42,black,"1007, Budějovická, Šátalka, Jesenice u Prahy, Zdiměřice, Jesenice, okres Praha-západ, Střední Čechy, 252 42, Česko",14.50247,Jesenice u Prahy,,
Severovýchod,50.57127,0.0,ORLEN,,,cz,Česko,471 63,black,"Benzina - Doksy, 38, Doksy u Máchova jezera, Staré Splavy, Doksy, okres Česká Lípa, Liberecký kraj, Severovýchod, 471 63, Česko",14.64469,Doksy u Máchova jezera,,
Moravskoslezsko,49.79779,0.0,Benzina,,Ostrava,cz,Česko,700 30,black,"3187, Rudná, Zábřeh, Zábřeh nad Odrou, Ostrava, okres Ostrava-město, Moravskoslezský kraj, Moravskoslezsko, 700 30, Česko",18.23908,Zábřeh,,
Střední Čechy,50.06333,0.0,Orlen,,,cz,Česko,282 01,black,"Orlen Český Brod, 12, Český Brod, okres Kolín, Střední Čechy, 282 01, Česko",14.84871,Český Brod,,
Severovýchod,50.08881,39.5,Orlen,,,cz,Česko,564 01,#009900,"Benzina - Žamberk, Čs. armády, Žamberk, okres Ústí nad Orlicí, Pardubický kraj, Severovýchod, 564 01, Česko",16.45627,Žamberk,před 6 dny,
Jihovýchod,48.81303,0.0,Benzina,,,cz,Česko,692 01,black,"Stop Cafe, 1532/76, Brněnská, Mikulov na Moravě, Mikulov, okres Břeclav, Jihomoravský kraj, Jihovýchod, 692 01, Česko",16.62998,Mikulov na Moravě,,
Praha,50.10816,42.9,Benzina,,Hlavní město Praha,cz,Česko,193 00,#999900,"Olomoucká, Horní Počernice, Praha, obvod Praha 9, Hlavní město Praha, Praha, 193 00, Česko",14.63842,Horní Počernice,před 7 dny,obvod Praha 9
Střední Čechy,50.04061,0.0,Orlen,,,cz,Česko,280 00,black,"Ovčárecká, Kolín V, Kolín, Sendražice, Kolín, okres Kolín, Střední Čechy, 280 00, Česko",15.21335,Kolín V,,
Střední Morava,49.4548,39.9,Benzina,,,cz,Česko,796 01,#009900,"Brněnská, Prostějov, okres Prostějov, Olomoucký kraj, Střední Morava, 796 01, Česko",17.11176,Prostějov,před 5 dny,
Severovýchod,50.78776,0.0,Orlen,,,cz,Česko,463 53,black,"151, Rynoltice, okres Liberec, Liberecký kraj, Severovýchod, 463 53, Česko",14.80939,,,
Moravskoslezsko,49.74097,39.3,Benzina,,,cz,Česko,737 01,#009900,"Orlen, Jablunkovská, Kontešinec, Český Těšín, okres Karviná, Moravskoslezský kraj, Moravskoslezsko, 737 01, Česko",18.62136,Český Těšín,Předevčírem,
,49.69876,0.0,Orlen,,Plzeň,cz,Česko,326 00,black,"Benzina, Plzeň, K Plzenci, K Plzenci, Černice, Plzeň 8-Černice, Plzeň, okres Plzeň-město, Plzeňský kraj, 326 00, Česko",13.4235,Černice,,Plzeň 8-Černice
Severovýchod,49.94289,0.0,Orlen,,,cz,Česko,566 01,black,"Orlen express, Husova, Litomyšlské Předměstí, Vysoké Mýto, okres Ústí nad Orlicí, Pardubický kraj, Severovýchod, 566 01, Česko",16.16434,Litomyšlské Předměstí,,
,49.38469,0.0,Orlen ,,,cz,Česko,339 01,black,"Za Tratí, Klatovy I, Klatovy, okres Klatovy, Plzeňský kraj, 339 01, Česko",13.29635,Klatovy I,,
Severozápad,50.08402,39.5,Orlen,,,cz,Česko,335 02,#009900,"Stop Cafe, Ašská, Cheb, okres Cheb, Karlovarský kraj, Severozápad, 335 02, Česko",12.37239,Cheb,Dnes,
,49.40844,0.0,Benzina,,,cz,Česko,339 01,black,"Benzina - Klatovy, Plzeňská, Klatovy II, Klatovy, okres Klatovy, Plzeňský kraj, 339 01, Česko",13.2936,Klatovy II,,
Praha,50.077,41.9,Benzina,,Hlavní město Praha,cz,Česko,150 06,#009900,"Orlen, Slezanů, Břevnov, Praha, obvod Praha 6, Hlavní město Praha, Praha, 150 06, Česko",14.33511,Břevnov,Dnes,obvod Praha 6
Střední Morava,49.46582,38.9,Benzina,,,cz,Česko,756 61,#009900,"2270, Radhošťská, Rožnov pod Radhoštěm, okres Vsetín, Zlínský kraj, Střední Morava, 756 61, Česko",18.16215,Rožnov pod Radhoštěm,Dnes,
Moravskoslezsko,49.83087,0.0,ORLEN,,Ostrava,cz,Česko,722 00,black,"Orlen, Opavská, Poruba-sever, Ostrava, okres Ostrava-město, Moravskoslezský kraj, Moravskoslezsko, 722 00, Česko",18.18605,Poruba-sever,,
Severovýchod,50.02736,0.0,ORLEN,,Pardubice,cz,Česko,532 32,black,"Benzina - Pardubice, Dukla, Pražská, Zavadilka, Pardubice, okres Pardubice, Pardubický kraj, Severovýchod, 532 32, Česko",15.75479,Pardubice,,
Severozápad,50.66112,0.0,Orlen,,Ústí nad Labem,cz,Česko,400 11,black,"Benzina, Ústí nad Labem, Předmostí, Předmostí, Ke Skřivánku, Ústí nad Labem, okres Ústí nad Labem, Ústecký kraj, Severozápad, 400 11, Česko",14.0469,Ústí nad Labem,,
